Auction Title ,Auction Id,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Men's Watch,80181,DRUG TASK FORCE,1/29/2014,$45.01 ,$1.04 ,0.23,$10.35 ,$10.35 ,Successful,1/29/2014,,TF-311-025C,,,3605105845,"$3,000 ",$0.00 ,$34.65 ,Enterprise,0
13 Boxes of Law Books,80182,POLICE DEPARTMENT,1/23/2014,$11.15 ,$0.26 ,0.23,$2.56 ,$2.56 ,Successful,1/27/2014,,75537,,,3604932190,"$3,000 ",$0.00 ,$8.58 ,General Fund,0
3 File Cabinets,80185,POLICE DEPARTMENT,1/23/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,1/28/2014,,"76103, 76104, 76105",,,3604987886,"$3,000 ",$0.00 ,$20.79 ,General Fund,0
4 File Cabinets,80186,POLICE DEPARTMENT,1/23/2014,$16.00 ,$0.37 ,0.23,$3.68 ,$3.68 ,Successful,1/28/2014,,"76108, 76109, 76116, 76117",,,3604987895,"$3,000 ",$0.00 ,$12.32 ,General Fund,0
3 File Cabinets,80187,POLICE DEPARTMENT,1/23/2014,$57.00 ,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,1/23/2014,,"76110, 76111, 76120",,,3604649170,"$3,000 ",$0.00 ,$43.89 ,General Fund,0
2 File Cabinets,80188,POLICE DEPARTMENT,1/23/2014,$56.00 ,$1.29 ,0.23,$12.88 ,$12.88 ,Successful,1/23/2014,,"76114, 76119",,,3604649183,"$3,000 ",$0.00 ,$43.12 ,General Fund,0
3 File Cabinets,80189,POLICE DEPARTMENT,1/23/2014,$16.55 ,$0.38 ,0.23,$3.80 ,$3.80 ,Successful,1/23/2014,,"76106, 76107, 76115",,,3604649195,"$3,000 ",$0.00 ,$12.74 ,General Fund,0
Assorted Parts,80196,WATER SERVICES,1/23/2014,$452.00 ,$10.40 ,0.23,$103.96 ,$103.96 ,Successful,1/27/2014,,WS-76166B,,,3604882569,"$3,000 ",$0.00 ,$348.04 ,Enterprise,0
1 Lot of Cable,80197,WATER SERVICES,1/23/2014,$238.00 ,$5.47 ,0.23,$54.74 ,$54.74 ,Successful,1/23/2014,,WS-76166A,,,3604676841,"$3,000 ",$0.00 ,$183.26 ,Enterprise,0
1 Pallet of Service Saddles,80198,WATER SERVICES,1/23/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,1/27/2014,,WS-76168A,,,3604882585,"$3,000 ",$0.00 ,$47.74 ,Enterprise,0
Assorted Parts,80199,WATER SERVICES,1/23/2014,$370.00 ,$8.51 ,0.23,$85.10 ,$85.10 ,Successful,1/27/2014,,WS-76168B,,,3604882601,"$3,000 ",$0.00 ,$284.90 ,Enterprise,0
Assorted Parts,80200,WATER SERVICES,1/23/2014,$37.00 ,$0.00 ,0.23,$8.51 ,$8.51 ,Successful,1/23/2014,,WS-76167,,,Money Order,"$3,000 ",$0.00 ,$28.49 ,Enterprise,0
Assorted Parts,80201,WATER SERVICES,1/23/2014,$40.00 ,$0.00 ,0.23,$9.20 ,$9.20 ,Successful,1/23/2014,,WS-76169,,,Money Order,"$3,000 ",$0.00 ,$30.80 ,Enterprise,0
Sink,80202,NASHVILLE CONVENTION CTR,1/23/2014,$81.00 ,$1.86 ,0.23,$18.63 ,$18.63 ,Successful,1/27/2014,,NCC-75601,,,3604906914,"$3,000 ",$0.00 ,$62.37 ,Enterprise,0
Booth,80204,NASHVILLE CONVENTION CTR,1/23/2014,$34.01 ,$0.78 ,0.23,$7.82 ,$7.82 ,Successful,1/23/2014,,NCC-75739,,,3604669948,"$3,000 ",$0.00 ,$26.18 ,Enterprise,0
